epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.921,1.22857,1.59812,1.3823,0.6316,0.48824,0.51631,0.28916,1.41739,1.51539,1.52937,0.00055491,0.00055491,0.00055491
2,283.445,1.33837,1.5037,1.48247,0.63348,0.47221,0.51675,0.29635,1.43188,1.48343,1.54234,0.00108859,0.00108859,0.00108859
3,398.236,1.3577,1.48391,1.49463,0.67506,0.4615,0.51925,0.30048,1.44304,1.45408,1.56133,0.00160026,0.00160026,0.00160026
4,512.705,1.34251,1.47222,1.50136,0.66131,0.45422,0.51637,0.30584,1.39589,1.42744,1.52016,0.00156798,0.00156798,0.00156798
5,626.744,1.31331,1.41172,1.47336,0.64897,0.44701,0.51279,0.30551,1.38455,1.43546,1.49366,0.00153497,0.00153497,0.00153497
6,750.086,1.28105,1.37237,1.45932,0.66929,0.53363,0.58639,0.36343,1.27124,1.24203,1.41965,0.00150197,0.00150197,0.00150197
7,864.423,1.25842,1.33002,1.43907,0.662,0.53241,0.57386,0.3548,1.27881,1.26453,1.41358,0.00146896,0.00146896,0.00146896
8,978.796,1.23717,1.31522,1.42519,0.71563,0.51928,0.60481,0.38582,1.20634,1.17495,1.38301,0.00143595,0.00143595,0.00143595
9,1098.92,1.22955,1.29809,1.41708,0.67036,0.53809,0.59202,0.37761,1.21191,1.19467,1.374,0.00140295,0.00140295,0.00140295
10,1224.14,1.20282,1.2636,1.40709,0.72482,0.52409,0.59819,0.37826,1.22489,1.20209,1.39073,0.00136994,0.00136994,0.00136994
11,1345.36,1.19678,1.24921,1.39398,0.71537,0.55343,0.62813,0.40825,1.19161,1.11699,1.35087,0.00133693,0.00133693,0.00133693
12,1460.75,1.18612,1.23332,1.38635,0.7204,0.53926,0.62735,0.40838,1.18112,1.11229,1.33141,0.00130393,0.00130393,0.00130393
13,1575.38,1.183,1.22284,1.38286,0.71663,0.53973,0.62568,0.40744,1.17499,1.1154,1.34246,0.00127092,0.00127092,0.00127092
14,1695.63,1.16444,1.1954,1.36843,0.71376,0.5667,0.64275,0.42249,1.12604,1.07134,1.30174,0.00123791,0.00123791,0.00123791
15,1815.5,1.14541,1.1828,1.3624,0.73413,0.5559,0.63938,0.42068,1.13771,1.07819,1.30899,0.00120491,0.00120491,0.00120491
16,1941.67,1.14455,1.16136,1.35129,0.72004,0.57181,0.64344,0.42935,1.12243,1.05179,1.29127,0.0011719,0.0011719,0.0011719
17,2063.58,1.13873,1.15919,1.35558,0.69978,0.58014,0.64862,0.42789,1.12343,1.05488,1.29424,0.00113889,0.00113889,0.00113889
18,2181.06,1.1292,1.14435,1.34625,0.75248,0.5624,0.65481,0.44209,1.09625,1.01052,1.27135,0.00110589,0.00110589,0.00110589
19,2300.7,1.12388,1.13535,1.34289,0.72686,0.57502,0.64959,0.43622,1.09209,1.04973,1.27393,0.00107288,0.00107288,0.00107288
